origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2023-12-20,ILI incidence,2023-12-17,1,EE,respicast,quantileBaseline,WIS,31.4610411972968,0.0,8,3,0.9532625576431636
2023-12-20,ILI incidence,2023-12-17,1,FI,ECDC,FluForARIMA,WIS,43.3902824227849,-0.04026129602505008,3,2,0.0
2023-12-20,ILI incidence,2023-12-17,1,FI,respicast,hubEnsemble,WIS,43.3902824227849,-0.04026129602505008,3,2,0.0
2023-12-20,ILI incidence,2023-12-17,1,FI,respicast,quantileBaseline,WIS,42.1961297563282,0.0,3,1,1.0
2023-12-20,ILI incidence,2023-12-17,1,FR,ECDC,FluForARIMA,WIS,46.1633721977749,-1.6566957039832289,8,2,0.8904083531994181
2023-12-20,ILI incidence,2023-12-17,1,FR,ECDC,norrsken_blue,WIS,279.786115546745,-4.25619955349849,8,7,0.07817820202119347
2023-12-20,ILI incidence,2023-12-17,1,FR,ECDC,norrsken_green,WIS,302.272606598311,-4.367725424213549,8,8,0.0
2023-12-20,ILI incidence,2023-12-17,1,FR,ISI,FluABCaster,WIS,80.4039069342697,-2.4572126940254497,8,6,0.7713651714150834
2023-12-20,ILI incidence,2023-12-17,1,FR,ISI,GenLogModel,WIS,48.5147621572377,-1.7283708883082196,8,3,0.8822333365256322
2023-12-20,ILI incidence,2023-12-17,1,FR,QMUL,SEIR,WIS,61.6864,-2.074899541891011,8,5,0.8364398438077119
2023-12-20,ILI incidence,2023-12-17,1,FR,respicast,hubEnsemble,WIS,55.1369356479414,-1.9129661771618787,8,4,0.8592101971755034
2023-12-20,ILI incidence,2023-12-17,1,FR,respicast,quantileBaseline,WIS,14.6413939302317,0.0,8,1,1.0
2023-12-20,ILI incidence,2023-12-17,1,GR,ECDC,FluForARIMA,WIS,176.509456888401,0.2517760584315842,8,1,1.0
2023-12-20,ILI incidence,2023-12-17,1,GR,ECDC,norrsken_blue,WIS,8262.51289759181,-5.296987173915141,8,7,0.14975553594290336
2023-12-20,ILI incidence,2023-12-17,1,GR,ECDC,norrsken_green,WIS,9686.71949944436,-5.526414721106517,8,8,0.0
2023-12-20,ILI incidence,2023-12-17,1,GR,ISI,FluABCaster,WIS,182.874278371451,0.20066936816001996,8,2,0.9993307380747041
2023-12-20,ILI incidence,2023-12-17,1,GR,ISI,GenLogModel,WIS,212.410626540244,-0.015334403904255547,8,4,0.9962249866731446
2023-12-20,ILI incidence,2023-12-17,1,GR,QMUL,SEIR,WIS,388.634630434782,-0.8868929226392661,8,6,0.9776950064617742
2023-12-20,ILI incidence,2023-12-17,1,GR,respicast,hubEnsemble,WIS,218.064132460855,-0.05323095308393744,8,5,0.995630519685001
2023-12-20,ILI incidence,2023-12-17,1,GR,respicast,quantileBaseline,WIS,210.164870451242,0.0,8,3,0.9964611282598133
2023-12-20,ILI incidence,2023-12-17,1,HR,ECDC,FluForARIMA,WIS,1.03486951410185,1.3138800500030927,8,1,1.0
2023-12-20,ILI incidence,2023-12-17,1,HR,ECDC,norrsken_blue,WIS,2.5491774846625,0.013297097421758173,8,5,0.0625297206880091
2023-12-20,ILI incidence,2023-12-17,1,HR,ECDC,norrsken_green,WIS,2.65018255812923,-0.042762822421055974,8,8,0.0
2023-12-20,ILI incidence,2023-12-17,1,HR,ISI,FluABCaster,WIS,1.9423419306107,0.40553172519404096,8,4,0.4382064703407001
2023-12-20,ILI incidence,2023-12-17,1,HR,ISI,GenLogModel,WIS,2.55321814119559,0.011012117271931774,8,6,0.06002825105150102
