origin_date,target_end_date,target,horizon,location,output_type,output_type_id,value
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.01,624.8808519251161
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.025,634.208156092706
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.05,641.9938201142676
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.1,650.7524041403739
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.15,656.5569008051688
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.2,661.1227223236926
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.25,665.0129753131934
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.3,668.4897627488187
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.35,671.7005619569131
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.4,674.7401569671523
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.45,677.6766594687256
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.5,680.5645400546894
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.55,683.4524206406531
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.6,686.3889231422264
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.65,689.4285181524656
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.7,692.63931736056
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.75,696.1161047961854
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.8,700.0063577856861
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.85,704.57217930421
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.9,710.3766759690049
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.95,719.1352599951111
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.975,726.9209240166728
2024-03-06,2024-03-03,ILI incidence,1,IT,quantile,0.99,736.2482281842626
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.01,591.5794493902656
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.025,611.4895430881674
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.05,628.0776301903255
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.1,646.7097688163316
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.15,659.0437207824929
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.2,668.7392856399298
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.25,676.9966869429555
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.3,684.374224199075
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.35,691.1858808412296
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.4,697.6333731774383
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.45,703.8616065363747
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.5,709.9864371283869
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.55,716.111267720399
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.6,722.3395010793355
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.65,728.7869934155441
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.7,735.5986500576987
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.75,742.9761873138182
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.8,751.2335886168439
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.85,760.9291534742808
2024-03-06,2024-03-10,ILI incidence,2,IT,quantile,0.9,773.2631054404421
