origin_date,target_end_date,target,horizon,location,output_type,output_type_id,value
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.01,498.80226065425177
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.025,508.789489808509
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.05,517.1184102263754
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.1,526.4811140518385
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.15,532.6825734557634
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.2,537.5591029996759
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.25,541.7132163707186
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.3,545.4252724564053
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.35,548.8529829800055
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.4,552.0976897722181
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.45,555.2322053159018
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.5,558.3147526886256
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.55,561.3973000613496
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.6,564.5318156050332
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.65,567.7765223972458
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.7,571.204232920846
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.75,574.9162890065327
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.8,579.0704023775754
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.85,583.9469319214879
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.9,590.1483913254128
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.95,599.5110951508759
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.975,607.8400155687423
2024-02-28,2024-02-25,ILI incidence,1,IT,quantile,0.99,617.8272447229996
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.01,373.3074782210247
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.025,395.8993938171524
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.05,414.70243322182074
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.1,435.80453982488064
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.15,449.7648726552263
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.2,460.73498343319034
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.25,470.0756470720366
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.3,478.4196248033533
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.35,486.1226806721657
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.4,493.4133219236453
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.45,500.45566979566473
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.5,507.380926711968
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.55,514.3061836282712
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.6,521.3485315002907
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.65,528.6391727517703
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.7,536.3422286205827
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.75,544.6862063518994
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.8,554.0268699907457
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.85,564.9969807687096
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.9,578.9573135990554
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.95,600.0594202021152
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.975,618.8624596067835
2024-02-28,2024-03-03,ILI incidence,2,IT,quantile,0.99,641.4543752029113
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.01,301.2201251786501
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.025,335.44477850002716
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.05,363.86482986007394
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.1,395.7000872327534
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.15,416.7321949045567
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.2,433.24626826562894
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.25,447.3000149723641
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.3,459.849533648347
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.35,471.4320612933949
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.4,482.3924962316029
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.45,492.9784566092372
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.5,503.38783600009594
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.55,513.7972153909546
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.6,524.383175768589
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.65,535.343610706797
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.7,546.9261383518449
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.75,559.4756570278278
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.8,573.529403734563
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.85,590.0434770956351
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.9,611.0755847674385
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.95,642.9108421401179
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.975,671.3308935001647
2024-02-28,2024-03-10,ILI incidence,3,IT,quantile,0.99,705.5555468215417
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.01,269.4952987836497
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.025,314.4329111566194
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.05,351.6514340064756
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.1,393.25271962826446
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.15,420.6934946813359
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.2,442.2199424538274
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.25,460.52820437865927
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.3,476.86991444799185
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.35,491.94789074566893
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.4,506.2130789752506
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.45,519.989084340148
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.5,533.5344411255564
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.55,547.079797910965
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.6,560.8558032758624
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.65,575.1209915054441
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.7,590.1989678031211
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.75,606.5406778724537
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.8,624.8489397972855
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.85,646.3753875697771
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.9,673.8161626228485
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.95,715.4174482446374
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.975,752.6359710944936
2024-02-28,2024-03-17,ILI incidence,4,IT,quantile,0.99,797.5735834674633
