origin_date,target_end_date,target,horizon,location,output_type,output_type_id,value
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.01,1537.620057937086
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.025,1579.0433027969589
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.05,1613.3010606285357
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.1,1651.5468945205803
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.15,1676.7521656697606
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.2,1696.5148785320569
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.25,1713.3173943253678
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.3,1728.311536030447
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.35,1742.1438281966705
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.4,1755.2289669165173
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.45,1767.8644679403728
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.5,1780.2879773060297
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.55,1792.7114866716868
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.6,1805.346987695542
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.65,1818.4321264153891
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.7,1832.2644185816123
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.75,1847.2585602866918
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.8,1864.0610760800025
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.85,1883.8237889422987
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.9,1909.029060091479
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.95,1947.2748939835237
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.975,1981.5326518151007
2024-01-10,2024-01-07,ILI incidence,1,IT,quantile,0.99,2022.9558966749735
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.01,1261.2062913965603
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.025,1327.1810618853008
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.05,1381.5642211536656
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.1,1442.1140605411929
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.15,1481.9393162977178
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.2,1513.1293692500574
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.25,1539.6273402340448
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.3,1563.260814397831
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.35,1585.0547441825433
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.4,1605.6660917941826
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.45,1625.5659120713642
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.5,1645.1303078931358
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.55,1664.6947037149073
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.6,1684.5945239920886
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.65,1705.205871603728
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.7,1726.9998013884403
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.75,1750.6332755522267
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.8,1777.131246536214
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.85,1808.3212994885534
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.9,1848.1465552450786
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.95,1908.696394632606
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.975,1963.0795539009703
2024-01-10,2024-01-14,ILI incidence,2,IT,quantile,0.99,2029.0543243897112
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.01,908.6995461417349
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.025,996.1652247978084
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.05,1067.9834101483204
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.1,1147.6892714034636
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.15,1199.990911012174
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.2,1240.8965610714401
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.25,1275.6171702341626
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.3,1306.5647691968516
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.35,1335.0907050636745
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.4,1362.0604257766652
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.45,1388.0940497725544
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.5,1413.6864477555582
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.55,1439.278845738562
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.6,1465.3124697344513
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.65,1492.282190447442
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.7,1520.8081263142647
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.75,1551.7557252769539
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.8,1586.476334439676
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.85,1627.3819844989425
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.9,1679.6836241076526
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.95,1759.3894853627958
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.975,1831.207670713308
2024-01-10,2024-01-21,ILI incidence,3,IT,quantile,0.99,1918.6733493693814
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.01,565.6754271244765
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.025,670.1629821995896
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.05,755.5577121057489
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.1,849.9665413486254
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.15,911.7411256035205
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.2,959.9768065150272
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.25,1000.8746155964773
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.3,1037.3003435006333
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.35,1070.8575946700716
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.4,1102.5723405423064
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.45,1133.1791157551293
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.5,1163.2637432085642
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.55,1193.3483706619993
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.6,1223.9551458748222
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.65,1255.6698917470567
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.7,1289.2271429164953
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.75,1325.6528708206513
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.8,1366.5506799021014
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.85,1414.786360813608
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.9,1476.560945068503
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.95,1570.9697743113798
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.975,1656.3645042175388
2024-01-10,2024-01-28,ILI incidence,4,IT,quantile,0.99,1760.852059292652
