location,truth_date,year_week,value
BE,2022-07-17,2022-W28,72.5027480880324
BE,2022-07-10,2022-W27,148.044935992336
BE,2022-07-03,2022-W26,197.749027032713
BE,2022-06-26,2022-W25,172.739650862682
HR,2024-01-14,2024-W02,28.1775033185262
HR,2024-01-07,2024-W01,18.3295561385838
HR,2023-12-31,2023-W52,10.6471261395712
HR,2023-12-24,2023-W51,8.04334952916758
HR,2023-12-17,2023-W50,2.65533654328289
HR,2023-12-10,2023-W49,0.928078791827029
HR,2023-12-03,2023-W48,0.360919530154956
HR,2023-11-26,2023-W47,0.309359597275676
HR,2023-11-19,2023-W46,0.206239731517118
HR,2023-11-12,2023-W45,0.154679798637838
HR,2023-11-05,2023-W44,0.206239731517118
HR,2023-10-29,2023-W43,0.335139563715316
HR,2023-10-22,2023-W42,0.180459765077478
HR,2023-10-15,2023-W41,0.180459765077478
HR,2023-10-08,2023-W40,0.154679798637838
HR,2023-09-03,2023-W35,0.386699496594595
HR,2023-07-30,2023-W30,0.103119865758559
HR,2023-07-02,2023-W26,0.592939228111713
HR,2023-05-21,2023-W20,0.309359597275676
HR,2023-05-14,2023-W19,0.489819362353154
HR,2023-05-07,2023-W18,1.72725775145586
HR,2023-04-30,2023-W17,1.4952380534991
HR,2023-04-23,2023-W16,4.40837426117839
HR,2023-04-16,2023-W15,6.80591114006488
HR,2023-04-09,2023-W14,9.22922798539101
HR,2023-04-02,2023-W13,12.5806236225442
HR,2023-03-26,2023-W12,19.6701143934451
HR,2023-03-19,2023-W11,24.0011487553046
HR,2023-03-12,2023-W10,31.9413784187136
HR,2023-03-05,2023-W09,57.0768456973623
HR,2023-02-26,2023-W08,72.8026252255425
HR,2023-02-19,2023-W07,89.3791436462308
HR,2023-02-12,2023-W06,90.6681419682128
HR,2023-02-05,2023-W05,102.088667100973
HR,2023-01-29,2023-W04,100.438749248836
HR,2023-01-22,2023-W03,101.882427369456
HR,2023-01-15,2023-W02,92.8336591491425
HR,2023-01-08,2023-W01,52.5395716039857
HR,2023-01-01,2022-W52,52.5395716039857
HR,2022-12-25,2022-W51,17.8655167426703
HR,2022-12-18,2022-W50,10.4666663744937
HR,2022-12-11,2022-W49,2.7584564090414494
HR,2022-12-04,2022-W48,0.979638724706308
HR,2022-11-27,2022-W47,0.464039395913514
HR,2022-11-20,2022-W46,0.128899832198198
HR,2022-11-13,2022-W45,0.206239731517118
HR,2022-11-06,2022-W44,0.0773398993189191
HR,2022-10-30,2022-W43,0.0
HR,2022-10-23,2022-W42,0.0773398993189191
HR,2022-10-16,2022-W41,0.128899832198198
HR,2022-10-09,2022-W40,0.0257799664396397
HR,2022-10-02,2022-W39,0.0484903616920324
HR,2022-09-04,2022-W35,0.121225904230081
HR,2022-07-31,2022-W30,0.0242451808460162
HR,2022-07-03,2022-W26,0.0242451808460162
CZ,2024-01-14,2024-W02,43.4801726727852
CZ,2024-01-07,2024-W01,40.2526445395512
CZ,2023-12-31,2023-W52,29.2610645674235
CZ,2023-12-24,2023-W51,42.2389534303086
CZ,2023-12-17,2023-W50,41.7497899011161
CZ,2023-12-10,2023-W49,36.723813601116
CZ,2023-12-03,2023-W48,27.6821674523048
CZ,2023-11-26,2023-W47,22.5450483009835
CZ,2023-11-19,2023-W46,12.4290393686048
CZ,2023-11-12,2023-W45,17.404175817231
CZ,2023-11-05,2023-W44,14.8784963850673
CZ,2023-10-29,2023-W43,14.0374211763956
CZ,2023-10-22,2023-W42,13.8223833576537
CZ,2023-10-15,2023-W41,11.8923247125824
CZ,2023-10-08,2023-W40,10.2298017916427
CZ,2023-10-01,2023-W39,7.31501778093005
CZ,2023-09-24,2023-W38,9.33530475820483
CZ,2023-09-17,2023-W37,7.43613794035879
CZ,2023-09-10,2023-W36,4.12620691552279
CZ,2023-09-03,2023-W35,3.88836220482774
CZ,2023-08-27,2023-W34,3.09582918099102
CZ,2023-08-20,2023-W33,2.98233455682386
CZ,2023-08-13,2023-W32,2.1964738450558
CZ,2023-08-06,2023-W31,2.27868517883716
CZ,2023-07-30,2023-W30,3.19564526960922
CZ,2023-07-23,2023-W29,3.50490328564937
CZ,2023-07-16,2023-W28,3.19453567301126
CZ,2023-07-09,2023-W27,2.51925191959362
CZ,2023-07-02,2023-W26,6.12303849662356
CZ,2023-06-25,2023-W25,6.13304246101745
CZ,2023-06-18,2023-W24,6.24952740930612
CZ,2023-06-11,2023-W23,7.237285351401151
CZ,2023-06-04,2023-W22,6.03406252048968
CZ,2023-05-28,2023-W21,8.46632620110935
CZ,2023-05-21,2023-W20,10.7006429876385
CZ,2023-05-14,2023-W19,11.0068801393917
CZ,2023-05-07,2023-W18,13.7648453020177
CZ,2023-04-30,2023-W17,18.0562291380559
CZ,2023-04-23,2023-W16,22.9073809251671
CZ,2023-04-16,2023-W15,23.1462720437848
CZ,2023-04-09,2023-W14,26.2680583805778
CZ,2023-04-02,2023-W13,40.7973870674658
CZ,2023-03-26,2023-W12,45.3474062166261
CZ,2023-03-19,2023-W11,54.4917454384205
CZ,2023-03-12,2023-W10,67.4437565956027
CZ,2023-03-05,2023-W09,73.6479956112784
CZ,2023-02-26,2023-W08,62.7163009257445
CZ,2023-02-19,2023-W07,50.730132715877
CZ,2023-02-12,2023-W06,55.9373042433809
CZ,2023-02-05,2023-W05,67.7064958182904
CZ,2023-01-29,2023-W04,74.1085841927556
CZ,2023-01-22,2023-W03,91.73747499607468
CZ,2023-01-15,2023-W02,116.043389889666
CZ,2023-01-08,2023-W01,157.958105773604
CZ,2023-01-01,2022-W52,133.471841218536
CZ,2022-12-25,2022-W51,168.758832212299
CZ,2022-12-18,2022-W50,108.687099302496
CZ,2022-12-11,2022-W49,43.1764478292501
CZ,2022-12-04,2022-W48,23.4324847659052
CZ,2022-11-27,2022-W47,18.2134709504687
CZ,2022-11-20,2022-W46,14.1642468388813
CZ,2022-11-13,2022-W45,12.9828848688789
CZ,2022-11-06,2022-W44,15.397353742933
CZ,2022-10-30,2022-W43,11.1167644025853
CZ,2022-10-23,2022-W42,16.3443735685271
CZ,2022-10-16,2022-W41,11.8590759990198
CZ,2022-10-09,2022-W40,16.6519153281119
CZ,2022-10-02,2022-W39,12.4355937901468
CZ,2022-09-25,2022-W38,12.0542510977149
CZ,2022-09-18,2022-W37,8.36469310035
CZ,2022-09-11,2022-W36,4.80976789863784
CZ,2022-09-04,2022-W35,3.31925645889274
CZ,2022-08-28,2022-W34,2.60039005850878
CZ,2022-08-21,2022-W33,2.46834291442185
CZ,2022-08-14,2022-W32,2.87918242547047
CZ,2022-08-07,2022-W31,1.51674222728856
CZ,2022-07-31,2022-W30,3.5492936550697
CZ,2022-07-24,2022-W29,3.94832937200048
CZ,2022-07-17,2022-W28,4.15824680754145
CZ,2022-07-10,2022-W27,3.38738301684595
CZ,2022-07-03,2022-W26,7.60486156378144
CZ,2022-06-26,2022-W25,6.06185155122552
DK,2024-01-14,2024-W02,206.996566583896
DK,2024-01-07,2024-W01,177.938690278603
DK,2023-12-31,2023-W52,246.919557481421
DK,2023-12-24,2023-W51,288.199045612206
DK,2023-12-17,2023-W50,269.779588507703
DK,2023-12-10,2023-W49,252.318845730125
DK,2023-12-03,2023-W48,235.877343781234
DK,2023-11-26,2023-W47,188.733974049079
DK,2023-11-19,2023-W46,151.818114493076
DK,2023-11-12,2023-W45,175.748779522364
DK,2023-11-05,2023-W44,151.355254387914
DK,2023-10-29,2023-W43,131.610539514286
DK,2023-10-22,2023-W42,108.250576551984
DK,2023-10-15,2023-W41,105.1404676648
DK,2023-10-08,2023-W40,104.053919800049
DK,2023-10-01,2023-W39,94.7125679459727
DK,2023-09-24,2023-W38,77.6525401793068
DK,2023-09-17,2023-W37,70.3242373549563
DK,2023-09-10,2023-W36,87.2829958604756
DK,2023-09-03,2023-W35,80.5939242770078
DK,2023-08-27,2023-W34,75.5317845915159
DK,2023-08-20,2023-W33,76.7565297359141
DK,2023-08-13,2023-W32,71.7087321678854
DK,2023-08-06,2023-W31,120.124364047484
DK,2023-07-30,2023-W30,105.192093322657
DK,2023-07-23,2023-W29,101.189302845128
DK,2023-07-16,2023-W28,83.1241375870725
DK,2023-07-09,2023-W27,92.8762926081961
DK,2023-07-02,2023-W26,60.7702811876658
DK,2023-06-25,2023-W25,65.1647737851424
DK,2023-06-18,2023-W24,52.5375643585163
DK,2023-06-11,2023-W23,59.6138278980164
DK,2023-06-04,2023-W22,70.164630181059
DK,2023-05-28,2023-W21,95.9483093664983
DK,2023-05-21,2023-W20,94.535364820567
DK,2023-05-14,2023-W19,82.3327615780446
DK,2023-05-07,2023-W18,67.9646583776436
DK,2023-04-30,2023-W17,116.289086053924
DK,2023-04-23,2023-W16,109.861902561733
DK,2023-04-16,2023-W15,130.748880748881
DK,2023-04-09,2023-W14,145.121105488917
DK,2023-04-02,2023-W13,175.089309668036
DK,2023-03-26,2023-W12,215.744003088952
DK,2023-03-19,2023-W11,201.747188570877
DK,2023-03-12,2023-W10,174.909047295406
DK,2023-03-05,2023-W09,167.446611047548
DK,2023-02-26,2023-W08,199.742388321604
DK,2023-02-19,2023-W07,283.046127981507
DK,2023-02-12,2023-W06,228.853355525174
DK,2023-02-05,2023-W05,192.248008552019
DK,2023-01-29,2023-W04,191.987552179623
DK,2023-01-22,2023-W03,179.393623490574
DK,2023-01-15,2023-W02,195.724626913198
DK,2023-01-08,2023-W01,285.960893133712
DK,2023-01-01,2022-W52,249.62695413279
DK,2022-12-25,2022-W51,246.756574639118
DK,2022-12-18,2022-W50,235.292952109216
DK,2022-12-11,2022-W49,163.390840501706
DK,2022-12-04,2022-W48,181.513825303027
DK,2022-11-27,2022-W47,181.471774888789
DK,2022-11-20,2022-W46,154.774236792395
DK,2022-11-13,2022-W45,141.603683433238
DK,2022-11-06,2022-W44,167.739256798837
DK,2022-10-30,2022-W43,147.248977437657
DK,2022-10-23,2022-W42,157.118414725518
DK,2022-10-16,2022-W41,127.381285894383
DK,2022-10-09,2022-W40,125.680306947851
DK,2022-10-02,2022-W39,88.204764132931
DK,2022-09-25,2022-W38,80.397392827404
DK,2022-09-18,2022-W37,63.8144514482208
DK,2022-09-11,2022-W36,81.9214299013219
DK,2022-09-04,2022-W35,80.6043963550419
DK,2022-08-28,2022-W34,91.6990036120461
DK,2022-08-21,2022-W33,88.7874175545408
DK,2022-08-14,2022-W32,110.230234578627
DK,2022-08-07,2022-W31,92.4470740501063
DK,2022-07-31,2022-W30,140.561376052399
DK,2022-07-24,2022-W29,135.02268695147
DK,2022-07-17,2022-W28,125.73573628296
DK,2022-07-10,2022-W27,121.025489312777
DK,2022-07-03,2022-W26,119.227655796033
DK,2022-06-26,2022-W25,104.800173761946
EE,2024-01-14,2024-W02,312.438306309709
EE,2024-01-07,2024-W01,352.780615091457
EE,2023-12-31,2023-W52,306.429877342214
EE,2023-12-24,2023-W51,325.313511240054
EE,2023-12-17,2023-W50,395.697964859274
EE,2023-12-10,2023-W49,339.905410161112
EE,2023-12-03,2023-W48,345.05549213325
EE,2023-11-26,2023-W47,300.42144837472
EE,2023-11-19,2023-W46,309.004918328283
EE,2023-11-12,2023-W45,295.271366402582
EE,2023-11-05,2023-W44,220.59517780658
EE,2023-10-29,2023-W43,194.84476794589
EE,2023-10-22,2023-W42,145.060642215222
EE,2023-10-15,2023-W41,198.278155927315
EE,2023-10-08,2023-W40,170.811052075912
EE,2023-10-01,2023-W39,188.934562259045
EE,2023-09-24,2023-W38,193.189845192807
EE,2023-09-17,2023-W37,185.530335912035
EE,2023-09-10,2023-W36,116.594752385086
EE,2023-09-03,2023-W35,108.935243104314
EE,2023-08-27,2023-W34,51.0633952051472
EE,2023-08-20,2023-W33,53.6165649654045
EE,2023-08-13,2023-W32,37.4464898171079
EE,2023-08-06,2023-W31,44.2549425111276
EE,2023-07-23,2023-W29,63.829244006434
EE,2023-07-16,2023-W28,83.4035455017404
EE,2023-07-09,2023-W27,110.637356277819
EE,2023-07-02,2023-W26,102.977846997047
EE,2023-06-25,2023-W25,115.743695798334
EE,2023-06-18,2023-W24,127.658488012868
EE,2023-06-11,2023-W23,194.040901779559
EE,2023-06-04,2023-W22,104.679960170552
EE,2023-05-28,2023-W21,94.4672811295223
EE,2023-05-21,2023-W20,118.296865558591
EE,2023-05-14,2023-W19,187.23244908554
EE,2023-05-07,2023-W18,150.637015855184
EE,2023-04-30,2023-W17,205.955693994094
EE,2023-04-23,2023-W16,243.402183811202
EE,2023-04-16,2023-W15,268.933881413775
EE,2023-04-09,2023-W14,289.359239495834
EE,2023-04-02,2023-W13,296.167692189854
EE,2023-03-26,2023-W12,262.976485306508
EE,2023-03-19,2023-W11,285.103956562072
EE,2023-03-12,2023-W10,281.699730215062
EE,2023-03-05,2023-W09,316.593050271913
EE,2023-02-26,2023-W08,295.316635603101
EE,2023-02-19,2023-W07,30.5800747145609
EE,2023-02-12,2023-W06,307.231427817636
EE,2023-02-05,2023-W05,357.44376643603
EE,2023-01-29,2023-W04,369.358558650565
EE,2023-01-22,2023-W03,404.251878707415
EE,2023-01-15,2023-W02,404.251878707415
EE,2023-01-08,2023-W01,431.485689483494
EE,2023-01-01,2022-W52,469.783235887354
EE,2022-12-25,2022-W51,541.27198917456
