,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
0,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.01,266.9488222651174
1,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.01,267.61913661698475
2,2023-12-20,ILI incidence,2023-12-31,3,FR,quantile,0.01,262.0568127976568
3,2023-12-20,ILI incidence,2024-01-07,4,FR,quantile,0.01,254.1339101955417
4,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.99,305.2464140102967
5,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.99,336.7685927485895
6,2023-12-20,ILI incidence,2023-12-31,3,FR,quantile,0.99,358.5357193335582
7,2023-12-20,ILI incidence,2024-01-07,4,FR,quantile,0.99,374.6156674909173
8,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.025,267.62255738378497
9,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.025,268.8356208633731
10,2023-12-20,ILI incidence,2023-12-31,3,FR,quantile,0.025,263.754079507699
11,2023-12-20,ILI incidence,2024-01-07,4,FR,quantile,0.025,256.25343749085505
12,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.975,304.57267889162915
13,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.975,335.5521085022012
14,2023-12-20,ILI incidence,2023-12-31,3,FR,quantile,0.975,356.838452623516
15,2023-12-20,ILI incidence,2024-01-07,4,FR,quantile,0.975,372.496140195604
16,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.05,268.7240119209416
17,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.05,270.8243877473288
18,2023-12-20,ILI incidence,2023-12-31,3,FR,quantile,0.05,266.52885265925755
19,2023-12-20,ILI incidence,2024-01-07,4,FR,quantile,0.05,259.71854253193885
20,2023-12-20,ILI incidence,2023-12-17,1,FR,quantile,0.95,303.4712243544725
21,2023-12-20,ILI incidence,2023-12-24,2,FR,quantile,0.95,333.5633416182455
