,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
28,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.9,49.89647612197107
29,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.9,54.28173540490227
30,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.9,57.53939407046731
31,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.9,60.20167685600384
32,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.15,36.91197789116261
33,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.15,33.63910353642896
34,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.15,30.943321789258626
35,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.15,28.66868571378436
36,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.85,48.95879656076365
37,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.85,52.79102135122635
38,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.85,55.61875047352704
39,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.85,57.92451213448709
40,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.2,37.82049897716453
41,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.2,35.083461723377205
42,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.2,32.80424025085749
43,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.2,30.875038770188475
44,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.8,48.05027547476173
45,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.8,51.346663164278105
46,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.8,53.75783201192817
47,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.8,55.71815907808297
48,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.25,38.70564891608021
49,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.25,36.49066468283269
50,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.25,34.61728772767502
51,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.25,33.02463474896405
52,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.75,47.16512553584605
53,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.75,49.93946020482262
54,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.75,51.94478453511064
55,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.75,53.5685630993074
56,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.3,39.57236285101128
57,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.3,37.86855825838934
58,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.3,36.39257284465116
59,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.3,35.12945869727596
60,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.7,46.29841160091499
61,2023-12-27,ILI incidence,2023-12-31,2,CZ,quantile,0.7,48.56156662926597
62,2023-12-27,ILI incidence,2024-01-07,3,CZ,quantile,0.7,50.16949941813451
63,2023-12-27,ILI incidence,2024-01-14,4,CZ,quantile,0.7,51.46373915099549
64,2023-12-27,ILI incidence,2023-12-24,1,CZ,quantile,0.35,40.424958373863646
