origin_date,ILI incidence,target_end_date,horizon,location,output_type,output_type_id,value
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.5,367.37
2023-12-06,ILI incidence,2023-12-24,2,BE,median,0.5,367.37
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.55,380.3
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.6,393.21
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.65,409.19
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.7,428.53
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.75,447.87
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.8,467.16
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.85,488.71
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.9,512.84
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.95,547.24
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.975,567.45
2023-12-06,ILI incidence,2023-12-24,2,BE,quantile,0.99,589.46
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.01,147.26
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.025,166.11
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.05,187.6
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.1,220.47
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.15,244.18
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.2,268.49
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.25,286.86
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.3,313.7
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.35,332.02
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.4,348.09
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.45,365.07
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.5,380.55
2023-12-06,ILI incidence,2023-12-31,3,BE,median,0.5,380.55
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.55,394.51
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.6,414.14
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.65,434.26
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.7,457.72
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.75,491.39
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.8,516.76
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.85,544.26
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.9,580.81
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.95,622.97
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.975,652.36
2023-12-06,ILI incidence,2023-12-31,3,BE,quantile,0.99,683.17
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.01,95.27
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.025,118.26
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.05,149.44
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.1,184.92
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.15,218.32
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.2,249.57
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.25,271.66
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.3,295.31
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.35,319.41
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.4,340.86
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.45,356.25
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.5,375.17
2023-12-06,ILI incidence,2024-01-07,4,BE,median,0.5,375.17
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.55,395.75
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.6,422.3
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.65,450.93
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.7,481.34
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.75,511.41
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.8,549.05
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.85,581.7
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.9,630.58
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.95,688.38
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.975,725.93
2023-12-06,ILI incidence,2024-01-07,4,BE,quantile,0.99,763.38
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.01,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.025,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.05,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.1,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.15,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.2,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.25,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.3,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.35,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.4,0.0
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.45,0.04
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.5,0.1
2023-12-06,ILI incidence,2023-12-17,1,HR,median,0.5,0.1
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.55,0.18
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.6,0.26
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.65,0.36
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.7,0.51
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.75,0.71
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.8,0.98
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.85,1.43
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.9,2.29
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.95,4.71
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.975,8.49
2023-12-06,ILI incidence,2023-12-17,1,HR,quantile,0.99,19.42
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.01,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.025,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.05,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.1,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.15,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.2,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.25,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.3,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.35,0.0
2023-12-06,ILI incidence,2023-12-24,2,HR,quantile,0.4,0.0
