origin_date,horizon,submission_round,is_latest,target_end_date
2024-03-06,-1,12,True,2024-02-18
2024-03-06,0,12,True,2024-02-25
2024-03-06,1,12,True,2024-03-03
2024-03-06,2,12,True,2024-03-10
2024-03-06,3,12,True,2024-03-17
2024-03-06,4,12,True,2024-03-24
2024-02-28,-1,11,False,2024-02-11
2024-02-28,0,11,False,2024-02-18
2024-02-28,1,11,False,2024-02-25
2024-02-28,2,11,False,2024-03-03
2024-02-28,3,11,False,2024-03-10
2024-02-28,4,11,False,2024-03-17
2024-02-21,1,10,False,2024-02-18
2024-02-21,2,10,False,2024-02-25
2024-02-21,3,10,False,2024-03-03
2024-02-21,4,10,False,2024-03-10
2024-02-14,1,9,False,2024-02-11
2024-02-14,2,9,False,2024-02-18
2024-02-14,3,9,False,2024-02-25
2024-02-14,4,9,False,2024-03-03
2024-02-07,1,8,False,2024-02-04
2024-02-07,2,8,False,2024-02-11
2024-02-07,3,8,False,2024-02-18
2024-02-07,4,8,False,2024-02-25
2024-01-31,1,7,False,2024-01-28
2024-01-31,2,7,False,2024-02-04
2024-01-31,3,7,False,2024-02-11
2024-01-31,4,7,False,2024-02-18
2024-01-24,1,6,False,2024-01-21
2024-01-24,2,6,False,2024-01-28
2024-01-24,3,6,False,2024-02-04
2024-01-24,4,6,False,2024-02-11
2024-01-17,1,5,False,2024-01-14
2024-01-17,2,5,False,2024-01-21
2024-01-17,3,5,False,2024-01-28
2024-01-17,4,5,False,2024-02-04
2024-01-10,1,4,False,2024-01-07
2024-01-10,2,4,False,2024-01-14
2024-01-10,3,4,False,2024-01-21
2024-01-10,4,4,False,2024-01-28
2024-01-03,1,3,False,2023-12-31
2024-01-03,2,3,False,2024-01-07
2024-01-03,3,3,False,2024-01-14
2024-01-03,4,3,False,2024-01-21
2023-12-27,1,2,False,2023-12-24
2023-12-27,2,2,False,2023-12-31
2023-12-27,3,2,False,2024-01-07
2023-12-27,4,2,False,2024-01-14
2023-12-20,1,1,False,2023-12-17
2023-12-20,2,1,False,2023-12-24
2023-12-20,3,1,False,2023-12-31
2023-12-20,4,1,False,2024-01-07
